# Constructed from biom file
#OTU ID	sampleID_1	sampleID_1a	sampleID_2	sampleID_2a
Bacteria;;	0.008287292817679558	0.1712707182320442	0.0	0.1292834890965732
Bacteria;Omnitrophota;Koll11	0.049723756906077346	0.04419889502762431	0.08866442199775533	0.03115264797507788
Bacteria;Acidobacteriota;Mor1	0.0	0.007366482504604052	0.0	0.0264797507788162
Bacteria;Proteobacteria;Gammaproteobacteria	0.8632596685082873	0.15285451197053407	0.8260381593714927	0.24454828660436137
Bacteria;Bacteroidota;Bacteroidia	0.006906077348066298	0.0	0.014590347923681257	0.0
Bacteria;Nitrospirota;Nitrospiria	0.03314917127071823	0.009208103130755065	0.03254769921436588	0.00778816199376947
Bacteria;Methylomirabilota;Methylomirabilia	0.0	0.0423572744014733	0.0	0.028037383177570093
Bacteria;Gemmatimonadota;Gemmatimonadetes	0.008287292817679558	0.0	0.004489337822671156	0.0
Bacteria;Patescibacteria;ABY1	0.0	0.06261510128913444	0.0	0.059190031152647975
Bacteria;Desulfobacterota;GWC2-55-46	0.0	0.014732965009208104	0.0	0.010903426791277258
Bacteria;Omnitrophota;Omnitrophia	0.0	0.049723756906077346	0.0	0.03894080996884735
Bacteria;Desulfobacterota_E;MBNT15	0.0	0.02578268876611418	0.0	0.012461059190031152
Bacteria;Patescibacteria;Paceibacteria	0.0	0.06813996316758748	0.0	0.07165109034267912
Bacteria;Nitrospirota;Thermodesulfovibrionia	0.0	0.21731123388581952	0.010101010101010102	0.21495327102803738
Bacteria;Patescibacteria;Gracilibacteria	0.0	0.06998158379373849	0.0	0.07009345794392523
Bacteria;Patescibacteria;	0.0	0.027624309392265192	0.0	0.014018691588785047
Bacteria;Firmicutes;Bacilli	0.03038674033149171	0.0	0.02356902356902357	0.0
Bacteria;Margulisbacteria;WOR-1	0.0	0.03683241252302026	0.0	0.040498442367601244
