id,(Intercept),treatment1b
Bacteria;,0.1011397467148186,0.8295087435038307
Bacteria;Omnitrophota,0.10471924097757093,0.42664263552311477
Bacteria;Acidobacteriota,0.44232140569018236,0.5570093554450927
Bacteria;Proteobacteria,0.2128102383000512,0.33699656096582714
Bacteria;Bacteroidota,0.06137277430721812,0.44451710003575173
Bacteria;Nitrospirota,0.04231035304811463,0.3009309390262263
Bacteria;Methylomirabilota,0.1439680970353823,0.25867859068024157
Bacteria;Gemmatimonadota,0.06137277430721806,0.2617516088465835
Bacteria;Patescibacteria,0.026976198682562656,0.14323817374225148
Bacteria;Desulfobacterota,0.10301536591790107,0.2177424753678536
Bacteria;Desulfobacterota_E,0.2419769055916084,0.35667314365605873
Bacteria;Firmicutes,0.061372774307218284,0.17832329692426138
Bacteria;Margulisbacteria,0.07829596972511348,0.19304554467026347
