	SubjectID1	SubjectID2	Group1	Group2	Distance
0	sampleID_2a	sampleID_1a	a	a	0.09375
1	sampleID_1a	sampleID_1	a	b	0.85
2	sampleID_1a	sampleID_2	a	b	0.85
3	sampleID_2a	sampleID_1	a	b	0.825
4	sampleID_2a	sampleID_2	a	b	0.825
0	sampleID_2	sampleID_1	b	b	0.11764705882352941
1	sampleID_1	sampleID_1a	b	a	0.85
2	sampleID_1	sampleID_2a	b	a	0.825
3	sampleID_2	sampleID_1a	b	a	0.85
4	sampleID_2	sampleID_2a	b	a	0.825
