id,(Intercept),badpairwise10a
Bacteria;;,1.2031648095097354,1.2031648095097358
Bacteria;Omnitrophota;Koll11,0.9679818003264641,0.9679818003264644
Bacteria;Acidobacteriota;Mor1,0.16588976566388242,0.16588976566388247
Bacteria;Proteobacteria;Gammaproteobacteria,1.3245829213933007,1.3245829213933011
Bacteria;Bacteroidota;Bacteroidia,1.4897935546038594,1.4897935546038599
Bacteria;Nitrospirota;Nitrospiria,1.1257681186387902,1.1257681186387907
Bacteria;Methylomirabilota;Methylomirabilia,0.7204792419809035,0.7204792419809037
Bacteria;Gemmatimonadota;Gemmatimonadetes,1.1257681186387902,1.1257681186387907
Bacteria;Patescibacteria;ABY1,0.8538728966522511,0.8538728966522514
Bacteria;Desulfobacterota;GWC2-55-46,0.37370373398553913,0.37370373398553924
Bacteria;Omnitrophota;Omnitrophia,0.7749797374960882,0.7749797374960885
Bacteria;Desulfobacterota_E;MBNT15,0.5543078652699293,0.5543078652699294
Bacteria;Patescibacteria;Paceibacteria,0.8829484551198753,0.8829484551198756
Bacteria;Nitrospirota;Thermodesulfovibrionia,0.4724560830694245,0.47245608306942466
Bacteria;Patescibacteria;Gracilibacteria,0.8921321764100582,0.8921321764100585
Bacteria;Patescibacteria;,0.5771256782419932,0.5771256782419935
Bacteria;Firmicutes;Bacilli,1.649594427600938,1.6495944276009387
Bacteria;Margulisbacteria;WOR-1,0.6732687653678615,0.6732687653678617
