id,(Intercept),treatment1b
Bacteria;;,21.24656227583629,-1.659782667905831
Bacteria;Omnitrophota;Koll11,3.959400176962415,10.109489536881675
Bacteria;Acidobacteriota;Mor1,-1.026662168476543,-0.07645284770338391
Bacteria;Proteobacteria;Gammaproteobacteria,9.098256719863924,15.456826381235736
Bacteria;Bacteroidota;Bacteroidia,-62.20082329676381,13.931772732338766
Bacteria;Nitrospirota;Nitrospiria,-21.148731578608064,41.59616705010574
Bacteria;Methylomirabilota;Methylomirabilia,2.7441844147364027,-5.093146228962335
Bacteria;Gemmatimonadota;Gemmatimonadetes,-62.200823296763566,18.643450103990475
Bacteria;Patescibacteria;ABY1,23.408058053448183,-14.409118265252363
Bacteria;Desulfobacterota;GWC2-55-46,-6.759214722412798,0.5733624718981531
Bacteria;Omnitrophota;Omnitrophia,8.30862556171874,-9.2705315141519
Bacteria;Desulfobacterota_E;MBNT15,-1.1691389240745302,-0.9181362311168019
Bacteria;Patescibacteria;Paceibacteria,13.70024937944035,-12.657135411193924
Bacteria;Nitrospirota;Thermodesulfovibrionia,39.026992375739304,-1.7940563956276232
Bacteria;Patescibacteria;Gracilibacteria,17.68185573350099,-14.16846175573734
Bacteria;Patescibacteria;,-0.8446871302979884,-1.3142446401579437
Bacteria;Firmicutes;Bacilli,-62.200823296763964,46.90831655916576
Bacteria;Margulisbacteria;WOR-1,5.127206871697388,-7.224874605408615
