id,(Intercept),treatment1a
Bacteria;,1.1224606672520234,2.47268740196009
Bacteria;Omnitrophota,12.02375520236566,-3.678757071127492
Bacteria;Acidobacteriota,-3.2852899343046884,1.4127589264366807
Bacteria;Proteobacteria,60.84265312675351,-9.606175512839082
Bacteria;Bacteroidota,5.948791217018684,-8.275032153492285
Bacteria;Nitrospirota,16.10105600637525,-0.030426246930170254
Bacteria;Methylomirabilota,-3.2852899343045108,6.1785612191675465
Bacteria;Gemmatimonadota,10.119987518521818,-12.38066478817879
Bacteria;Patescibacteria,-3.2852899343045197,23.865208901758216
Bacteria;Desulfobacterota,-3.285289934304517,3.101591282159167
Bacteria;Desulfobacterota_E,-3.2852899343045063,2.77467622855901
Bacteria;Firmicutes,51.750681087359474,-25.662677337884443
Bacteria;Margulisbacteria,-3.2852899343045214,8.843481773322244
