id,(Intercept),treatment1a
Bacteria;;,0.5589615926236298,1.3015181598485328
Bacteria;Omnitrophota;Koll11,3.582478791755025,-3.0773556985437103
Bacteria;Acidobacteriota;Mor1,-0.4139934819040267,0.03732227898466256
Bacteria;Proteobacteria;Gammaproteobacteria,6.106975649740691,-3.9868457718900476
Bacteria;Bacteroidota;Bacteroidia,1.8014149175176295,-4.427990955602127
Bacteria;Nitrospirota;Nitrospiria,2.8960431213611515,-3.730859690217593
Bacteria;Methylomirabilota;Methylomirabilia,-0.41399348190402646,0.8486638485767228
Bacteria;Gemmatimonadota;Gemmatimonadetes,1.3636805488406798,-3.9902565869251765
Bacteria;Patescibacteria;ABY1,-0.4139934819040271,1.3968722976290606
Bacteria;Desulfobacterota;GWC2-55-46,-0.4139934819040267,-0.0742494966724423
Bacteria;Omnitrophota;Omnitrophia,-0.4139934819040269,1.082567967917873
Bacteria;Desulfobacterota_E;MBNT15,-0.41399348190402646,0.24005483303874442
Bacteria;Patescibacteria;Paceibacteria,-0.41399348190402735,1.5312843245377534
Bacteria;Nitrospirota;Thermodesulfovibrionia,0.7372990645929953,1.4929236104436185
Bacteria;Patescibacteria;Gracilibacteria,-0.4139934819040269,1.5335189651289012
Bacteria;Patescibacteria;,-0.41399348190402646,0.32500435143644335
Bacteria;Firmicutes;Bacilli,2.6992748527397072,-5.325850890824203
Bacteria;Margulisbacteria;WOR-1,-0.41399348190402646,0.9575970956834059
